epoch,precision,sensitivity,specificity,train_acc,train_loss,val_acc,val_loss_wrong,val_macc,val_loss,F1
291,0.906976743482964,0.749999999519231,0.906249999291992,0.840337754472548,0.45730999886723,0.854986522911051,0.025492333784785,0.828124999405611,0.446667026829075,0.82105263100277
333,0.867132866526481,0.794871794362262,0.851562499334717,0.841047193090685,0.457352741364434,0.847708894878706,0.025784978670929,0.823217146848489,0.451794639793602,0.829431437572287
280,0.866197182488594,0.788461537956114,0.851562499334717,0.842982726711906,0.453833320378779,0.852021563342318,0.025404601043414,0.820012018645416,0.445129806930954,0.825503355150669
299,0.869565216761185,0.769230768737673,0.859374999328613,0.838379086983344,0.460160151429701,0.854312668463612,0.025305606030616,0.814302884033143,0.443395253774282,0.816326530056921
393,0.923728812776501,0.698717948270053,0.929687499273681,0.836389574336829,0.461507688678563,0.857816711590296,0.025178447101434,0.814202723771867,0.441167223131335,0.79562043737546
297,0.838926173933607,0.801282050768409,0.812499999365234,0.836505243676743,0.461657193272308,0.8544474393531,0.025365671478229,0.806891025066822,0.44444769781989,0.819672130610051
328,0.834437085540108,0.807692307174556,0.804687499371338,0.840037014188772,0.458419420865147,0.852156334231806,0.025492912785573,0.806189903272947,0.446677171861803,0.820846905002706
366,0.852112675456259,0.77564102514382,0.835937499346924,0.837800740283775,0.459363145076546,0.85822102425876,0.025308157399943,0.805789262245372,0.443439957902238,0.812080536367731
363,0.84615384556213,0.77564102514382,0.828124999353027,0.836435842072794,0.460117973811314,0.844070080862534,0.025760215795759,0.801883012248424,0.451360754064612,0.809364547953602
264,0.894308942362351,0.7051282046762,0.898437499298096,0.843661320172733,0.454065786841547,0.847304582210243,0.025548449787997,0.801782851987148,0.447650270204286,0.788530465384566
254,0.86029411701449,0.749999999519231,0.851562499334717,0.841270820481184,0.455958017905002,0.856603773584906,0.02530402907725,0.800781249426974,0.443367622994088,0.801369862464815
327,0.836734693308344,0.788461537956114,0.812499999365234,0.839844231955583,0.458901375472389,0.850269541778976,0.025785341134837,0.800480768660674,0.45180099074905,0.811881187582917
389,0.870229006969291,0.730769230300789,0.86718749932251,0.836536088834053,0.461169853487005,0.851347708894879,0.025483502845935,0.798978364811649,0.446512294459987,0.794425086554408
332,0.854014597916778,0.749999999519231,0.84374999934082,0.838749228871067,0.459449194949772,0.850808625336927,0.025455508393196,0.796874999430026,0.446021786251584,0.798634811741546
348,0.829931972224536,0.782051281549967,0.804687499371338,0.837114435533621,0.459376928119698,0.852291105121294,0.02556926792609,0.793369390460653,0.448015037742821,0.805280527521267
349,0.841726618099477,0.749999999519231,0.828124999353027,0.838942011104257,0.456996453464831,0.845283018867925,0.025761333785086,0.789062499436129,0.45138034305057,0.793220338445274
354,0.890756301772474,0.679487179051611,0.898437499298096,0.837685070943862,0.45895134841846,0.843530997304582,0.025814969028824,0.788962339174853,0.452320119496938,0.77090909034843
373,0.86153846087574,0.717948717488494,0.859374999328613,0.833590376310919,0.463424360165529,0.847304582210243,0.025752406346105,0.788661858408554,0.451223919842694,0.783216782669079
360,0.815789473147507,0.794871794362262,0.781249999389648,0.832271745835904,0.463743893283395,0.842991913746631,0.02587501093982,0.788060896875955,0.453372151142842,0.805194804671952
262,0.910714284901148,0.653846153427022,0.921874999279785,0.841155151141271,0.455565464785304,0.849056603773585,0.02537398931882,0.787860576353403,0.444593439875422,0.761194029282691
308,0.860465115612043,0.711538461082347,0.859374999328613,0.840422578655151,0.458231165584509,0.85,0.025868773736208,0.78545673020548,0.453262865221178,0.778947367874423
278,0.895652173134216,0.660256409833169,0.906249999291992,0.838702961135102,0.45814500273552,0.836657681940701,0.026081700099208,0.783253204562581,0.45699368038693,0.76014760091502
312,0.882352940434997,0.673076922645463,0.890624999304199,0.836536088834053,0.46010633730767,0.849730458221024,0.025434245413033,0.781850960974831,0.445649224358636,0.763636363080992
367,0.820689654606421,0.762820512331525,0.796874999377441,0.839404688463911,0.458187029719555,0.847978436657682,0.02572486379642,0.779847755854483,0.450741329708615,0.790697673893224
330,0.887931033717301,0.660256409833169,0.898437499298096,0.83829426280074,0.461580783997571,0.839622641509434,0.026038162064335,0.779346954565632,0.456230823413746,0.757352940619593
303,0.881355931456478,0.666666666239316,0.890624999304199,0.835764959901296,0.460799556592723,0.85188679245283,0.025389605864467,0.778645832771758,0.444867067079286,0.759124087037136
390,0.828571427979592,0.743589743113084,0.812499999365234,0.835487353485503,0.461570465544501,0.848787061994609,0.025665841020958,0.778044871239159,0.449707154969911,0.7837837832542
315,0.900900900089278,0.641025640614727,0.914062499285889,0.836566933991363,0.457779337847544,0.851212938005391,0.025270917763887,0.777544069950308,0.442787459089949,0.749063669850889
